[episode 0] episode length : 151, slowdown : 6.86, rew_sum : -226.49, mean entropy : 2.40
[episode 1] episode length : 184, slowdown : 11.63, rew_sum : -325.65, mean entropy : 2.40
[episode 2] episode length : 186, slowdown : 6.13, rew_sum : -172.08, mean entropy : 2.40
[episode 3] episode length : 146, slowdown : 7.70, rew_sum : -218.34, mean entropy : 2.40
[episode 4] episode length : 151, slowdown : 8.81, rew_sum : -282.89, mean entropy : 2.40
[episode 5] episode length : 148, slowdown : 6.21, rew_sum : -206.46, mean entropy : 2.40
[episode 6] episode length : 174, slowdown : 8.14, rew_sum : -278.82, mean entropy : 2.40
[episode 7] episode length : 158, slowdown : 6.63, rew_sum : -185.58, mean entropy : 2.40
[episode 8] episode length : 193, slowdown : 8.30, rew_sum : -257.42, mean entropy : 2.40
[episode 9] episode length : 136, slowdown : 9.24, rew_sum : -259.91, mean entropy : 2.40
[episode 10] episode length : 186, slowdown : 7.82, rew_sum : -265.93, mean entropy : 2.40
[episode 11] episode length : 155, slowdown : 6.83, rew_sum : -191.32, mean entropy : 2.40
[episode 12] episode length : 130, slowdown : 6.15, rew_sum : -147.70, mean entropy : 2.40
[episode 13] episode length : 152, slowdown : 7.91, rew_sum : -229.28, mean entropy : 2.40
[episode 14] episode length : 181, slowdown : 9.01, rew_sum : -297.35, mean entropy : 2.40
[episode 15] episode length : 184, slowdown : 6.46, rew_sum : -210.62, mean entropy : 2.40
[episode 16] episode length : 174, slowdown : 9.15, rew_sum : -293.28, mean entropy : 2.40
[episode 17] episode length : 150, slowdown : 5.62, rew_sum : -161.47, mean entropy : 2.40
[episode 18] episode length : 132, slowdown : 6.36, rew_sum : -165.32, mean entropy : 2.40
[episode 19] episode length : 162, slowdown : 6.01, rew_sum : -169.28, mean entropy : 2.40
[episode 20] episode length : 138, slowdown : 7.76, rew_sum : -218.62, mean entropy : 2.40
[episode 21] episode length : 124, slowdown : 6.52, rew_sum : -136.91, mean entropy : 2.40
[episode 22] episode length : 191, slowdown : 7.54, rew_sum : -264.25, mean entropy : 2.40
[episode 23] episode length : 149, slowdown : 7.60, rew_sum : -237.51, mean entropy : 2.40
[episode 24] episode length : 176, slowdown : 6.04, rew_sum : -175.21, mean entropy : 2.40
[episode 25] episode length : 165, slowdown : 5.96, rew_sum : -209.50, mean entropy : 2.40
[episode 26] episode length : 196, slowdown : 8.72, rew_sum : -280.09, mean entropy : 2.40
[episode 27] episode length : 157, slowdown : 7.68, rew_sum : -285.32, mean entropy : 2.40
[episode 28] episode length : 140, slowdown : 7.54, rew_sum : -173.45, mean entropy : 2.40
[episode 29] episode length : 190, slowdown : 8.24, rew_sum : -297.61, mean entropy : 2.40
[episode 30] episode length : 177, slowdown : 8.12, rew_sum : -300.40, mean entropy : 2.40
[episode 31] episode length : 137, slowdown : 7.99, rew_sum : -223.83, mean entropy : 2.40
[episode 32] episode length : 142, slowdown : 9.18, rew_sum : -266.50, mean entropy : 2.40
[episode 33] episode length : 167, slowdown : 8.36, rew_sum : -267.63, mean entropy : 2.40
[episode 34] episode length : 187, slowdown : 7.56, rew_sum : -280.04, mean entropy : 2.40
[episode 35] episode length : 144, slowdown : 6.32, rew_sum : -197.47, mean entropy : 2.40
[episode 36] episode length : 170, slowdown : 6.78, rew_sum : -224.58, mean entropy : 2.40
[episode 37] episode length : 137, slowdown : 6.08, rew_sum : -194.50, mean entropy : 2.40
[episode 38] episode length : 173, slowdown : 5.50, rew_sum : -137.58, mean entropy : 2.40
[episode 39] episode length : 171, slowdown : 7.73, rew_sum : -232.79, mean entropy : 2.40
[episode 40] episode length : 170, slowdown : 5.97, rew_sum : -174.73, mean entropy : 2.40
[episode 41] episode length : 163, slowdown : 9.39, rew_sum : -282.33, mean entropy : 2.40
[episode 42] episode length : 190, slowdown : 6.71, rew_sum : -249.80, mean entropy : 2.40
[episode 43] episode length : 167, slowdown : 6.60, rew_sum : -186.71, mean entropy : 2.40
[episode 44] episode length : 160, slowdown : 6.84, rew_sum : -214.30, mean entropy : 2.40
[episode 45] episode length : 171, slowdown : 8.88, rew_sum : -293.11, mean entropy : 2.40
[episode 46] episode length : 148, slowdown : 9.14, rew_sum : -255.90, mean entropy : 2.40
[episode 47] episode length : 143, slowdown : 9.07, rew_sum : -226.65, mean entropy : 2.40
[episode 48] episode length : 158, slowdown : 7.10, rew_sum : -199.18, mean entropy : 2.40
[episode 49] episode length : 151, slowdown : 6.90, rew_sum : -213.89, mean entropy : 2.40
[episode 50] episode length : 148, slowdown : 5.82, rew_sum : -168.91, mean entropy : 2.40
[episode 51] episode length : 147, slowdown : 8.00, rew_sum : -208.08, mean entropy : 2.40
[episode 52] episode length : 185, slowdown : 8.39, rew_sum : -337.11, mean entropy : 2.40
[episode 53] episode length : 143, slowdown : 4.68, rew_sum : -135.76, mean entropy : 2.40
[episode 54] episode length : 181, slowdown : 8.72, rew_sum : -287.90, mean entropy : 2.40
[episode 55] episode length : 161, slowdown : 9.12, rew_sum : -283.77, mean entropy : 2.40
[episode 56] episode length : 162, slowdown : 7.49, rew_sum : -194.86, mean entropy : 2.40
[episode 57] episode length : 163, slowdown : 9.95, rew_sum : -361.97, mean entropy : 2.40
[episode 58] episode length : 164, slowdown : 6.84, rew_sum : -219.03, mean entropy : 2.40
[episode 59] episode length : 170, slowdown : 7.27, rew_sum : -276.72, mean entropy : 2.40
[episode 60] episode length : 187, slowdown : 7.80, rew_sum : -226.29, mean entropy : 2.40
[episode 61] episode length : 140, slowdown : 9.08, rew_sum : -273.00, mean entropy : 2.40
[episode 62] episode length : 162, slowdown : 5.11, rew_sum : -153.42, mean entropy : 2.40
[episode 63] episode length : 171, slowdown : 8.10, rew_sum : -259.24, mean entropy : 2.40
[episode 64] episode length : 141, slowdown : 9.76, rew_sum : -273.33, mean entropy : 2.40
[episode 65] episode length : 170, slowdown : 5.18, rew_sum : -156.37, mean entropy : 2.40
[episode 66] episode length : 150, slowdown : 6.74, rew_sum : -162.33, mean entropy : 2.40
[episode 67] episode length : 145, slowdown : 6.03, rew_sum : -151.65, mean entropy : 2.40
[episode 68] episode length : 153, slowdown : 6.93, rew_sum : -214.91, mean entropy : 2.40
[episode 69] episode length : 153, slowdown : 8.09, rew_sum : -226.92, mean entropy : 2.40
[episode 70] episode length : 144, slowdown : 8.68, rew_sum : -226.07, mean entropy : 2.40
[episode 71] episode length : 188, slowdown : 6.97, rew_sum : -216.16, mean entropy : 2.40
[episode 72] episode length : 136, slowdown : 7.78, rew_sum : -226.98, mean entropy : 2.40
[episode 73] episode length : 151, slowdown : 6.55, rew_sum : -176.81, mean entropy : 2.40
[episode 74] episode length : 150, slowdown : 5.24, rew_sum : -163.80, mean entropy : 2.40
[episode 75] episode length : 174, slowdown : 7.72, rew_sum : -263.44, mean entropy : 2.40
[episode 76] episode length : 203, slowdown : 6.94, rew_sum : -208.22, mean entropy : 2.40
[episode 77] episode length : 163, slowdown : 7.95, rew_sum : -271.48, mean entropy : 2.40
[episode 78] episode length : 143, slowdown : 8.46, rew_sum : -194.54, mean entropy : 2.40
[episode 79] episode length : 160, slowdown : 8.81, rew_sum : -281.87, mean entropy : 2.40
[episode 80] episode length : 191, slowdown : 5.90, rew_sum : -194.57, mean entropy : 2.40
[episode 81] episode length : 164, slowdown : 9.21, rew_sum : -322.51, mean entropy : 2.40
[episode 82] episode length : 143, slowdown : 6.72, rew_sum : -209.84, mean entropy : 2.40
[episode 83] episode length : 150, slowdown : 9.36, rew_sum : -274.90, mean entropy : 2.40
[episode 84] episode length : 127, slowdown : 6.16, rew_sum : -155.04, mean entropy : 2.40
[episode 85] episode length : 149, slowdown : 7.05, rew_sum : -232.69, mean entropy : 2.40
[episode 86] episode length : 187, slowdown : 9.89, rew_sum : -297.02, mean entropy : 2.40
[episode 87] episode length : 179, slowdown : 6.63, rew_sum : -265.26, mean entropy : 2.40
[episode 88] episode length : 142, slowdown : 5.09, rew_sum : -127.18, mean entropy : 2.40
[episode 89] episode length : 164, slowdown : 7.46, rew_sum : -219.64, mean entropy : 2.40
[episode 90] episode length : 181, slowdown : 10.77, rew_sum : -398.84, mean entropy : 2.40
[episode 91] episode length : 173, slowdown : 8.94, rew_sum : -307.53, mean entropy : 2.40
[episode 92] episode length : 133, slowdown : 4.92, rew_sum : -159.93, mean entropy : 2.40
[episode 93] episode length : 153, slowdown : 6.79, rew_sum : -204.39, mean entropy : 2.40
[episode 94] episode length : 138, slowdown : 7.39, rew_sum : -199.50, mean entropy : 2.40
[episode 95] episode length : 155, slowdown : 6.91, rew_sum : -221.11, mean entropy : 2.40
[episode 96] episode length : 172, slowdown : 9.60, rew_sum : -326.50, mean entropy : 2.40
[episode 97] episode length : 143, slowdown : 10.01, rew_sum : -261.25, mean entropy : 2.40
[episode 98] episode length : 139, slowdown : 8.66, rew_sum : -243.07, mean entropy : 2.40
[episode 99] episode length : 183, slowdown : 5.09, rew_sum : -132.37, mean entropy : 2.40
[episode 100] episode length : 163, slowdown : 6.95, rew_sum : -230.48, mean entropy : 2.40
[episode 101] episode length : 145, slowdown : 6.59, rew_sum : -184.42, mean entropy : 2.40
[episode 102] episode length : 149, slowdown : 8.25, rew_sum : -231.01, mean entropy : 2.40
[episode 103] episode length : 151, slowdown : 7.03, rew_sum : -196.71, mean entropy : 2.40
[episode 104] episode length : 166, slowdown : 9.10, rew_sum : -291.21, mean entropy : 2.40
[episode 105] episode length : 151, slowdown : 8.36, rew_sum : -275.96, mean entropy : 2.40
[episode 106] episode length : 149, slowdown : 7.95, rew_sum : -270.72, mean entropy : 2.40
[episode 107] episode length : 144, slowdown : 5.75, rew_sum : -161.38, mean entropy : 2.40
[episode 108] episode length : 188, slowdown : 9.47, rew_sum : -293.84, mean entropy : 2.40
[episode 109] episode length : 154, slowdown : 10.55, rew_sum : -295.28, mean entropy : 2.40
[episode 110] episode length : 190, slowdown : 7.90, rew_sum : -268.71, mean entropy : 2.39
[episode 111] episode length : 146, slowdown : 8.22, rew_sum : -230.14, mean entropy : 2.40
[episode 112] episode length : 144, slowdown : 5.93, rew_sum : -145.32, mean entropy : 2.40
[episode 113] episode length : 171, slowdown : 4.73, rew_sum : -137.04, mean entropy : 2.39
[episode 114] episode length : 168, slowdown : 11.74, rew_sum : -389.98, mean entropy : 2.39
[episode 115] episode length : 192, slowdown : 9.44, rew_sum : -304.47, mean entropy : 2.36
[episode 116] episode length : 164, slowdown : 8.22, rew_sum : -263.52, mean entropy : 2.35
[episode 117] episode length : 153, slowdown : 4.80, rew_sum : -136.48, mean entropy : 2.39
[episode 118] episode length : 136, slowdown : 10.01, rew_sum : -260.17, mean entropy : 2.36
[episode 119] episode length : 177, slowdown : 8.49, rew_sum : -237.62, mean entropy : 2.32
[episode 120] episode length : 160, slowdown : 7.46, rew_sum : -209.85, mean entropy : 2.39
[episode 121] episode length : 135, slowdown : 6.70, rew_sum : -140.80, mean entropy : 2.39
[episode 122] episode length : 208, slowdown : 10.46, rew_sum : -367.35, mean entropy : 2.29
[episode 123] episode length : 157, slowdown : 9.04, rew_sum : -282.69, mean entropy : 2.28
[episode 124] episode length : 184, slowdown : 8.84, rew_sum : -256.35, mean entropy : 2.33
[episode 125] episode length : 187, slowdown : 8.48, rew_sum : -298.02, mean entropy : 2.32
[episode 126] episode length : 218, slowdown : 6.47, rew_sum : -207.24, mean entropy : 2.34
[episode 127] episode length : 158, slowdown : 8.04, rew_sum : -300.66, mean entropy : 2.39
[episode 128] episode length : 132, slowdown : 5.25, rew_sum : -121.14, mean entropy : 2.37
[episode 129] episode length : 180, slowdown : 9.62, rew_sum : -347.21, mean entropy : 2.36
[episode 130] episode length : 169, slowdown : 7.99, rew_sum : -295.76, mean entropy : 2.39
[episode 131] episode length : 143, slowdown : 9.94, rew_sum : -279.22, mean entropy : 2.40
[episode 132] episode length : 151, slowdown : 7.97, rew_sum : -233.46, mean entropy : 2.40
[episode 133] episode length : 164, slowdown : 9.49, rew_sum : -306.20, mean entropy : 2.39
[episode 134] episode length : 190, slowdown : 9.43, rew_sum : -348.94, mean entropy : 2.39
[episode 135] episode length : 140, slowdown : 7.21, rew_sum : -224.58, mean entropy : 2.40
[episode 136] episode length : 178, slowdown : 7.39, rew_sum : -244.02, mean entropy : 2.40
[episode 137] episode length : 143, slowdown : 7.12, rew_sum : -227.87, mean entropy : 2.40
[episode 138] episode length : 177, slowdown : 5.62, rew_sum : -141.02, mean entropy : 2.39
[episode 139] episode length : 162, slowdown : 7.10, rew_sum : -212.86, mean entropy : 2.39
[episode 140] episode length : 157, slowdown : 8.19, rew_sum : -237.60, mean entropy : 2.39
[episode 141] episode length : 157, slowdown : 7.88, rew_sum : -236.78, mean entropy : 2.39
[episode 142] episode length : 179, slowdown : 6.57, rew_sum : -243.34, mean entropy : 2.38
[episode 143] episode length : 171, slowdown : 5.98, rew_sum : -167.44, mean entropy : 2.39
[episode 144] episode length : 154, slowdown : 5.61, rew_sum : -173.92, mean entropy : 2.38
[episode 145] episode length : 193, slowdown : 11.35, rew_sum : -374.68, mean entropy : 2.32
[episode 146] episode length : 160, slowdown : 7.24, rew_sum : -202.84, mean entropy : 2.38
[episode 147] episode length : 178, slowdown : 9.59, rew_sum : -240.05, mean entropy : 2.37
[episode 148] episode length : 170, slowdown : 6.81, rew_sum : -190.77, mean entropy : 2.32
[episode 149] episode length : 157, slowdown : 8.52, rew_sum : -266.09, mean entropy : 2.32
[test res at 149 ]	Avg slowdown of test dataset: 7.93, Avg entropy 2.30
[episode 150] episode length : 158, slowdown : 6.34, rew_sum : -183.99, mean entropy : 2.36
[episode 151] episode length : 152, slowdown : 8.21, rew_sum : -213.73, mean entropy : 2.36
[episode 152] episode length : 211, slowdown : 13.05, rew_sum : -523.18, mean entropy : 2.00
[episode 153] episode length : 163, slowdown : 6.60, rew_sum : -191.39, mean entropy : 2.36
[episode 154] episode length : 165, slowdown : 8.93, rew_sum : -294.71, mean entropy : 2.26
[episode 155] episode length : 184, slowdown : 9.93, rew_sum : -307.96, mean entropy : 2.23
[episode 156] episode length : 163, slowdown : 5.26, rew_sum : -137.29, mean entropy : 2.23
[episode 157] episode length : 171, slowdown : 8.88, rew_sum : -322.27, mean entropy : 2.34
[episode 158] episode length : 148, slowdown : 7.23, rew_sum : -232.44, mean entropy : 2.35
[episode 159] episode length : 212, slowdown : 12.86, rew_sum : -489.02, mean entropy : 2.06
[episode 160] episode length : 215, slowdown : 7.19, rew_sum : -208.47, mean entropy : 2.03
[episode 161] episode length : 148, slowdown : 7.96, rew_sum : -238.82, mean entropy : 2.28
[episode 162] episode length : 180, slowdown : 9.19, rew_sum : -276.57, mean entropy : 2.30
[episode 163] episode length : 168, slowdown : 6.84, rew_sum : -219.76, mean entropy : 2.26
[episode 164] episode length : 141, slowdown : 9.12, rew_sum : -255.26, mean entropy : 2.28
[episode 165] episode length : 157, slowdown : 8.57, rew_sum : -257.22, mean entropy : 2.29
[episode 166] episode length : 166, slowdown : 8.16, rew_sum : -198.17, mean entropy : 2.39
[episode 167] episode length : 173, slowdown : 5.62, rew_sum : -140.51, mean entropy : 2.31
[episode 168] episode length : 144, slowdown : 6.50, rew_sum : -201.72, mean entropy : 2.36
[episode 169] episode length : 168, slowdown : 10.76, rew_sum : -301.22, mean entropy : 2.24
[episode 170] episode length : 143, slowdown : 7.24, rew_sum : -188.33, mean entropy : 2.38
